Municipio,Macroregi+//3//Q-o, Regi+//3//Q-o,IDH,Porte
Santana Do Cariri, Cariri,Farias Brito,Medio,
Araripe, Cariri,Farias Brito, Baixo,
Porteiras, Cariri,Brejo Santo,Medio,
Penaforte, Cariri,Brejo Santo,Medio,
Farias Brito, Cariri,Farias Brito,Medio,
Or+//3//Q-s, Cariri,Ic+//3//Q-,Medio,
Baixio, Cariri,Ic+//3//Q-,Medio,
Aurora, Cariri,Brejo Santo,Medio,
Barbalha, Cariri,Juazeiro Norte,Medio,
Acopiara, Cariri,Iguat+//3//Q-, Baixo,
Antonina do Norte, Cariri,Farias Brito, Baixo,10000
Juc+//3//Q-s, Cariri,Iguat+//3//Q-, Baixo,
Quixel+//3//Q-, Cariri,Iguat+//3//Q-, Baixo,
Miss+//3//Q-o Velha, Cariri,Juazeiro Norte,Medio,
Brejo Santo, Cariri,Brejo Santo,Medio,
Crato, Cariri,Crato,Alto,
Ico, Cariri,Ic+//3//Q-,Medio,
Assar+//3//Q-, Cariri,Farias Brito,Medio,
Potengi, Cariri,Farias Brito, Baixo,
Cari+//3//Q-s, Cariri,Iguat+//3//Q-, Baixo,
Tarrafas, Cariri,Farias Brito, Baixo,
Jat+//3//Q-, Cariri,Cariri,Medio,
Salitre, Cariri,Farias Brito, Baixo,
Nova Olinda, Cariri,Farias Brito,Medio,
V+//3//Q-rzea Alegre, Cariri,Farias Brito,Medio,
Ipaumirim, Cariri,Ic+//3//Q-,Medio,
Iguatu, Cariri,Iguat+//3//Q-,Medio,
Altaneira, Cariri,Farias Brito,Medio,10000
Granjeiro, Cariri,Juazeiro Norte, Baixo,5000
Mauriti, Cariri,Brejo Santo,Medio,
Jardim, Cariri,Juazeiro Norte,Medio,
Umari, Cariri,Ic+//3//Q-, Baixo,
Lavras Da Mangabeira, Cariri,Ic+//3//Q-,Medio,
Juazeiro Do Norte, Cariri,Juazeiro Do Norte,Medio,
Itatira, Sert+//3//Q-o Central,Canind+//3//Q-, Baixo,10000
Arneiroz, Sert+//3//Q-o Central, Tau+//3//Q-,Medio,
Paramoti, Sert+//3//Q-o Central,Canind+//3//Q-, Baixo,10000
Quixad+//3//Q-, Sert+//3//Q-o Central, Quixad+//3//Q-,Medio,
Chor+//3//Q-, Sert+//3//Q-o Central, Quixad+//3//Q-, Baixo,
Canind+//3//Q-, Sert+//3//Q-o Central,Canind+//3//Q-,Medio,
Quixeramobim, Sert+//3//Q-o Central,Quixad+//3//Q-,Medio,
Tau+//3//Q-, Sert+//3//Q-o Central, Tau+//3//Q-,Medio,
Banabui+//3//Q-, Sert+//3//Q-o Central, Quixad+//3//Q-,Medio,
Caridade, Sert+//3//Q-o Central,Canind+//3//Q-, Baixo,
Milh+//3//Q-, Sert+//3//Q-o Central,Quixad+//3//Q-,Medio,
Solon+//3//Q-pole, Sert+//3//Q-o Central,Quixad+//3//Q-,Medio,
Aiuaba, Sert+//3//Q-o Central, Crate+//3//Q-s, Baixo,
Pedra Branca, Sert+//3//Q-o Central,Quixad+//3//Q-,Medio,
Ibaretama, Sert+//3//Q-o Central, Quixad+//3//Q-, Baixo,
Parambu, Sert+//3//Q-o Central, Tau+//3//Q-, Baixo ,
Senador Pompeu, Sert+//3//Q-o Central,Quixad+//3//Q-,Medio,
Madalena, Sert+//3//Q-o Central , Canind+//3//Q-,Medio,
Ibicuitinga, Sert+//3//Q-o Central, Quixad+//3//Q-,Medio,
Boa Viagem, Sert+//3//Q-o Central,Canind+//3//Q-, Baixo,
Itai+//3//Q-aba, Litoral Leste/Jaguaribe, Aracati,Medio,10000
 Jaguaribe, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Limoeiro do Norte, Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,
 Morada Nova, Litoral Leste/Jaguaribe, Russas,Medio,
 Russas, Litoral Leste/Jaguaribe, Russas,Medio,
 Erer+//3//Q-, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,10000
 Alto Santo, Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,
 Aracati, Litoral Leste/Jaguaribe,Aracati,Medio,
 S+//3//Q-o Joao do Jaguaribe, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Palhano, Litoral Leste/Jaguaribe, Russas,Medio,
 Jaguaruana, Litoral Leste/Jaguaribe,Russas,Medio,
 Potiretama, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Iracema, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Fortim, Litoral Leste/Jaguaribe,Aracati,Medio,
 Tabuleiro do Norte, Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,
 Pereiro, Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,
 Quixer+//3//Q-, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Jaguaribara, Litoral Leste/Jaguaribe, Limoeiro do Norte,Medio,
 Icapu+//3//Q-, Litoral Leste/Jaguaribe ,Aracati,Medio,
 Jaguaretama, Litoral Leste/Jaguaribe, Russas,Medio,
