,Região,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
0,  Caucaia,2013,0.13802378212893646,0.4481631480908911,0.4122795464567568,0.9511488301499522,0.009602399359511349
1,  Caucaia,2014,0.11675573525759046,0.4726548095758765,0.40921790778007955,0.9554744338247906,0.03670357660398865
2,  Caucaia,2015,0.14240792348590317,0.471397086924927,0.38495187529513664,0.9786098903532194,0.011082582860298696
3,  Caucaia,2016,0.10825879131976392,0.4938959379277844,0.39662823320841095,0.9827225757729253,0.008137620762380159
4,  Caucaia,2017,0.19466140392923725,0.44176140159621285,0.36256142535064295,0.9870150631917392,0.0
5,  Caucaia,2018,0.11261634009797061,0.48900162045136464,0.3983811034814556,0.9328198523133393,0.062753457098239
6,  Caucaia,2019,0.10763240971165769,0.5334763056305455,0.35889012829870115,0.9863320189135306,0.01102701176802696
7, Acaraú,2013,0.09638820384383785,0.666899091873171,0.23586744761802483,0.9951832347616472,0.0005264224304210749
8, Acaraú,2014,0.11491423229199128,0.6528401599122228,0.23151134671924736,0.9808056522327303,0.013400909839978624
9, Acaraú,2015,0.09057335630155407,0.6841736591513794,0.2245853125427069,0.9668680444006713,0.005483960359456856
10, Acaraú,2016,0.13194477092687054,0.6658655997302602,0.20160246659105333,0.7716940793801578,0.03941403501829407
11, Acaraú,2017,0.116656493438451,0.644769966065628,0.23795170415617287,0.9804663964890242,0.013851391628227029
12, Acaraú,2018,0.14650177614149582,0.5926142681333003,0.26088367401976637,0.9994760997548819,0.0003792827614097998
13, Acaraú,2019,0.14268700801759354,0.5211291190707459,0.33618368131235216,0.8656762862817818,0.13357559059503304
14, Aracati,2013,0.03083717890317086,0.6286150214889782,0.33928828900200037,0.9130944470216528,0.08156383605611905
15, Aracati,2014,0.058528771595701266,0.5841190475785607,0.356147871037954,0.9321537598903495,0.05768487944676344
16, Aracati,2015,0.05420529505789187,0.5859962003131922,0.35863071717770006,0.9651674735977802,0.020595217871400662
17, Aracati,2016,0.03268180150689957,0.6235359779326692,0.3427176891384711,0.8958664463777815,0.09435074033796219
18, Aracati,2017,0.04222545187264041,0.6520962864588554,0.304824513046674,0.9899622783855149,0.0
19, Aracati,2018,0.038395204187892266,0.5895872991190791,0.3720186105091329,0.9822771970358682,0.011814755853596688
20, Aracati,2019,0.06726490722392361,0.5497318065813968,0.3830051792469825,0.9880716775833658,0.011927494348434537
21, Baturité,2013,0.06087322025845523,0.7444265198919632,0.19400614730605098,0.9022082564692999,0.09303901916857259
22, Baturité,2014,0.06647807204735826,0.7508354876570762,0.1821015823279696,0.9603530871772066,0.03637409004028968
23, Baturité,2015,0.06273235285135134,0.7612142846738935,0.17550279524287954,0.8918565556836222,0.10229075962855838
24, Baturité,2016,0.06695890094138944,0.7589676467690954,0.17354766165943802,0.94553897336779,0.048573488582312814
25, Baturité,2017,0.07000098065705394,0.7404139498123036,0.18905699085040112,0.9268285001637651,0.06999110542735737
26, Baturité,2018,0.09288958547386617,0.7155654391162352,0.19154476188776512,0.9219238395997569,0.07507348214268374
27, Baturité,2019,0.07216943914924001,0.7086696904280592,0.21916105308992753,0.9188558246666644,0.07874905398830132
28, Camocim,2013,0.04789543110957468,0.8095411288836933,0.14205905442685884,1.0,0.0
29, Camocim,2014,0.05648997885301266,0.8053435381750464,0.13772323706719694,0.9881609524018972,0.01183904759810282
30, Camocim,2015,0.06424008475414451,0.7737148373009533,0.16153678892870457,1.0,0.0
31, Camocim,2016,0.06472213127834912,0.7756550165097404,0.1591503230381213,0.9645578401385163,0.02479216916734189
32, Camocim,2017,0.0568432346710372,0.777674263714847,0.16503589416880313,1.0,0.0
33, Camocim,2018,0.09872141697210789,0.7233648836518971,0.1779133298304821,1.0,0.0
34, Camocim,2019,0.07374028719755234,0.7326879525228659,0.19357197067156356,0.8411677941586463,0.004050869388056607
35, Canindé,2013,0.03913744016908063,0.8182341045564742,0.14198717287250576,0.9630379688241353,0.0
36, Canindé,2014,0.03715533492174932,0.7934291144488731,0.16890504884102758,0.9883142404584919,0.0
37, Canindé,2015,0.05120011697250102,0.7964370228409696,0.15188500140993638,0.9565362572998162,0.0
38, Canindé,2016,0.11460743377370114,0.756519816551441,0.12849186931001438,0.9858085173563831,0.0
39, Canindé,2017,0.04397196806748566,0.7945531608243479,0.16103701400196893,0.9546033047615387,0.04133151396345031
40, Canindé,2018,0.047038199516901226,0.8071990260882981,0.14576335874182178,0.977581326168314,0.020355332181812368
41, Canindé,2019,0.056837749780106785,0.751368678121761,0.19179670304712115,0.9882896156869154,0.01005162952689759
42, Cascavel,2013,0.03972469673733107,0.7758624358456198,0.18376681578350007,0.9869569411039929,0.0
43, Cascavel,2014,0.038625570718822715,0.7783223344443746,0.18246722746997043,0.9719010606589086,0.008315520261914577
