Região,Nordeste,Norte
2013,55477.40974944293,27051.89412408008
2014,55206.58046303153,27073.496276712423
2015,53059.649484298745,25828.864466502113
2016,52697.14097058515,25511.46028846089
2017,47310.010158204146,23173.728205998435
2018,49042.10172778199,24230.170711682033
2019,51256.36,25402.72
