Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,4799.3976036007625,4610.776490798125,12606.721739930907,3341.9844098292892,6544.45135665734,17601.721795857597,7093.681302241304
2014,4846.929084201531,4656.461773270289,12266.560947711605,3403.103651386743,6662.838507134455,18083.456358686915,7140.32937482823
2015,4703.810135561019,4213.5944171920555,11093.524336282777,3283.2376529097646,6459.161209186256,17678.861145721487,7046.592260792391
2016,4674.495874983327,3720.5663753093936,9932.979092629344,3317.1372822416533,6184.625685273071,16692.904363647223,6987.266402111113
2017,4350.327529928515,3944.1414880275042,9975.811298680886,2978.694068170809,5757.960435347053,15524.237609880009,6615.50598000957
2018,4698.381700269001,4267.6378393216,10910.252357939356,3093.115138188327,6143.208874862382,16151.258497013085,6939.567119313823
2019,4870.55,4380.67,11508.0,3591.3,6484.92,17168.5,7233.25
