IDH,Médio,Alto,Muito Alto
2013,180645.34627982235,7952.760900627414,0.0
2014,179578.46019633472,8059.565424657033,0.0
2015,175073.1184082515,7496.832070101821,0.0
2016,168781.07575340333,7037.7036575510465,0.0
2017,160243.90880756735,6922.8355561983135,0.0
2018,168891.15531146523,7360.7529775099265,0.0
2019,176607.16,7971.97,0.0
