IDH,Médio,Alto,Muito Alto
2013,0.42,0.77,0
2014,0.42,0.76,0
2015,0.42,0.78,0
2016,0.43,0.75,0
2017,0.41,0.76,0
2018,0.4,0.75,0
2019,0.4,0.73,0
