Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,31560.96483640915,19565.39924163681,8126.466623620785,13618.125732882232,10105.121932046164,10248.965639002552,22767.913043092532,7844.0581644258455,8162.357268418373
2014,31506.676199708538,19500.844282462454,8211.355903813706,13575.253390840096,8752.045143575353,10445.160987476858,22675.490108306116,7785.639087083223,8125.880820505625
2015,31660.343651428255,18865.56408176135,8051.360276505616,13233.964442132872,9275.982693779866,9963.419009366846,21561.056324671325,7529.394360377705,7950.084480683758
2016,29520.446403353668,18692.69729863407,7863.741561009208,13416.378897474087,9125.856596428903,9642.812608268825,20688.12337167806,7191.267805294004,8167.479792618434
2017,28655.72863097849,17488.184633055742,7521.633090053017,12333.694478641724,8731.038633176011,9100.367846631176,19898.186090635696,6690.184194784404,7601.048355765062
2018,30520.780611582923,18101.714406283612,8205.431081522554,12873.071335986018,8965.84292432237,9498.919749509223,20986.77675849638,6922.965284100153,7972.984610264331
2019,31202.9,19412.7,8388.36,13545.3,9309.6,9762.19,22145.8,7282.0,8293.09
